company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
4EVER FLASH LTD,12136208,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-08-02,total-exemption-full,"accounts category, NOT turnover",43210,"34-44 London Road, Peel House, Office 203, Floor 2, Morden",SM4 5BX,https://find-and-update.company-information.service.gov.uk/company/12136208,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:50+00:00
J.B ELECTRICAL SERVICES LTD,13373879,A_CEILING_HIT,"established 2021, total-exemption-full filer",ltd,corporate subscriber,2021-05-04,total-exemption-full,"accounts category, NOT turnover",43210,"34b Charles Street, Sileby, Loughborough",LE12 7RJ,https://find-and-update.company-information.service.gov.uk/company/13373879,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:52+00:00
MM ELECTRICAL CONTRACTING LIMITED,08398253,A_CEILING_HIT,"established 2013, total-exemption-full filer",ltd,corporate subscriber,2013-02-11,total-exemption-full,"accounts category, NOT turnover",43210,"7 Tissington Drive, Waverley, Rotherham",S60 8AP,https://find-and-update.company-information.service.gov.uk/company/08398253,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:53+00:00
PENDLE PERFORMANCE LTD,06876456,A_CEILING_HIT,"established 2009, total-exemption-full filer",ltd,corporate subscriber,2009-04-14,total-exemption-full,"accounts category, NOT turnover",43210,"Hope Mill, Calf Hall Road, Barnoldswick",BB18 5PX,https://find-and-update.company-information.service.gov.uk/company/06876456,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:57+00:00
STEVE SIMPSON LIMITED,09360205,A_CEILING_HIT,"established 2014, total-exemption-full filer",ltd,corporate subscriber,2014-12-18,total-exemption-full,"accounts category, NOT turnover",43290; 43342,"397 Baker Street, Alvaston, Derby",DE24 8SJ,https://find-and-update.company-information.service.gov.uk/company/09360205,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:59+00:00
SBC ELECTRICIANS LTD,10215282,A_CEILING_HIT,"established 2016, total-exemption-full filer",ltd,corporate subscriber,2016-06-06,total-exemption-full,"accounts category, NOT turnover",43210,"Flat 13 The Lanterns, Moss Hall Grove, London, London",N12 8PG,https://find-and-update.company-information.service.gov.uk/company/10215282,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:00+00:00
VELEC LTD,13244940,A_CEILING_HIT,"established 2021, total-exemption-full filer",ltd,corporate subscriber,2021-03-04,total-exemption-full,"accounts category, NOT turnover",43210,"Brook House Church Lane, Garforth, Leeds",LS25 1HB,https://find-and-update.company-information.service.gov.uk/company/13244940,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:01+00:00
WORKPLACE CHARGING LIMITED,10940177,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-08-31,total-exemption-full,"accounts category, NOT turnover",43210,"Heath Farm House Loddon Road, Broome, Bungay",NR35 2RJ,https://find-and-update.company-information.service.gov.uk/company/10940177,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:02+00:00
SFD CONSTRUCTION LIMITED,10798169,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-06-01,total-exemption-full,"accounts category, NOT turnover",43290,"18 Botany Road, Walsall",WS5 4ND,https://find-and-update.company-information.service.gov.uk/company/10798169,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:03+00:00
TPM (LINCS) LIMITED,11341696,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-05-02,total-exemption-full,"accounts category, NOT turnover",43290,"32 The Crescent, Spalding",PE11 1AF,https://find-and-update.company-information.service.gov.uk/company/11341696,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:04+00:00
ROGER BUDGE (ELECTRICAL ENGINEERING) LIMITED,01194153,A_CEILING_HIT,"established 1974, total-exemption-full filer",ltd,corporate subscriber,1974-12-17,total-exemption-full,"accounts category, NOT turnover",43210,"6a Bittern Way, Boston, Lincolnshire",PE21 7NX,https://find-and-update.company-information.service.gov.uk/company/01194153,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:09+00:00
EZ CONTRACTORS LTD,11319033,A_CEILING_HIT,"established 2018, total-exemption-full filer",ltd,corporate subscriber,2018-04-19,total-exemption-full,"accounts category, NOT turnover",43290; 43390,"31 Bloemfontein Road Bloemfontein Road, London",W12 7BH,https://find-and-update.company-information.service.gov.uk/company/11319033,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:12+00:00
J.E.D PLUMBING & HEATING LTD,10730487,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-04-19,total-exemption-full,"accounts category, NOT turnover",43220,"4 Sherwood Green, Hailsham",BN27 3TU,https://find-and-update.company-information.service.gov.uk/company/10730487,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:13+00:00
NCP PLUMBING & HEATING LTD,11873649,A_CEILING_HIT,"established 2019, total-exemption-full filer",ltd,corporate subscriber,2019-03-11,total-exemption-full,"accounts category, NOT turnover",43220; 43290; 43999,"34 Great Grove, Bushey",WD23 3BH,https://find-and-update.company-information.service.gov.uk/company/11873649,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:15+00:00
CITY HEATING AND PLUMBING LTD,08495197,A_CEILING_HIT,"established 2013, unaudited-abridged filer",ltd,corporate subscriber,2013-04-18,unaudited-abridged,"accounts category, NOT turnover",43220,"Belfry House, Bell Lane, Hertford, Herts",SG14 1BP,https://find-and-update.company-information.service.gov.uk/company/08495197,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:15+00:00
GEO-NEL PLUMBING LTD,11468856,A_CEILING_HIT,"established 2018, unaudited-abridged filer",ltd,corporate subscriber,2018-07-17,unaudited-abridged,"accounts category, NOT turnover",43220,"9 Chadville Gardens, Romford",RM6 5TX,https://find-and-update.company-information.service.gov.uk/company/11468856,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:19+00:00
TAGG INSTALLATIONS LTD,08033997,A_CEILING_HIT,"established 2012, total-exemption-full filer",ltd,corporate subscriber,2012-04-17,total-exemption-full,"accounts category, NOT turnover",43210,"Onega House, 112 Main Road, Sidcup, Kent",DA14 6NE,https://find-and-update.company-information.service.gov.uk/company/08033997,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:24+00:00
CME CONTRACTORS LTD,09548041,A_CEILING_HIT,"established 2015, total-exemption-full filer",ltd,corporate subscriber,2015-04-17,total-exemption-full,"accounts category, NOT turnover",43210,"12 Roosevelt Avenue, Charlton Kings, Cheltenham",GL52 6JL,https://find-and-update.company-information.service.gov.uk/company/09548041,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:25+00:00
ALECT ELECTRICAL SERVICES LIMITED,10632372,A_CEILING_HIT,"established 2017, total-exemption-full filer",ltd,corporate subscriber,2017-02-22,total-exemption-full,"accounts category, NOT turnover",43210; 55209; 68100; 68209,"Unit 6 Soloman Road, Ilkeston",DE7 5UE,https://find-and-update.company-information.service.gov.uk/company/10632372,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:25+00:00
G LENNIE PLUMBING & HEATING LIMITED,SC666581,A_CEILING_HIT,"established 2020, total-exemption-full filer",ltd,corporate subscriber,2020-07-07,total-exemption-full,"accounts category, NOT turnover",43220,"30 Glasgow Road, Edinburgh",EH12 8HL,https://find-and-update.company-information.service.gov.uk/company/SC666581,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:27+00:00
PROTECTORCOMMS LIMITED,05799110,A_CEILING_HIT,"established 2006, total-exemption-full filer",ltd,corporate subscriber,2006-04-27,total-exemption-full,"accounts category, NOT turnover",43210,"Unit C2/C3 - De Clare House, 4 St Alfred Owen Way Pontygwindy Industrial Estate, Caerphilly",CF83 3HU,https://find-and-update.company-information.service.gov.uk/company/05799110,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:32+00:00
LAC INSTALLATIONS LIMITED,05653523,A_CEILING_HIT,"established 2005, total-exemption-full filer",ltd,corporate subscriber,2005-12-14,total-exemption-full,"accounts category, NOT turnover",43220,"Northmoor Works, Higginshaw Road, Oldham, Lancs",OL1 3JY,https://find-and-update.company-information.service.gov.uk/company/05653523,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:36+00:00
OIL INSTALLATIONS LIMITED,04765403,A_CEILING_HIT,"established 2003, total-exemption-full filer",ltd,corporate subscriber,2003-05-15,total-exemption-full,"accounts category, NOT turnover",43220,"28 Wilton Road, Bexhill-On-Sea, East Sussex",TN40 1EZ,https://find-and-update.company-information.service.gov.uk/company/04765403,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:38+00:00
KMP PLUMBING AND HEATING LIMITED,05526609,A_CEILING_HIT,"established 2005, total-exemption-full filer",ltd,corporate subscriber,2005-08-03,total-exemption-full,"accounts category, NOT turnover",43220,"89 Folly Lane, Hockley, Essex",SS5 4SR,https://find-and-update.company-information.service.gov.uk/company/05526609,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:39+00:00
M A L CONTRACT SERVICES LIMITED,03554881,A_CEILING_HIT,"established 1998, total-exemption-full filer",ltd,corporate subscriber,1998-04-29,total-exemption-full,"accounts category, NOT turnover",43210,"C/O Francis Clarks, 1 London Road, Ipswich",IP1 2HA,https://find-and-update.company-information.service.gov.uk/company/03554881,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:40+00:00
ADVANTAGE ENGINEERING LIMITED,02350402,A_CEILING_HIT,"established 1989, total-exemption-full filer",ltd,corporate subscriber,1989-02-21,total-exemption-full,"accounts category, NOT turnover",43290; 93191,"Morton House, 9 Beacon Court, Pitstone Green Business Park, Pitstone",LU7 9GY,https://find-and-update.company-information.service.gov.uk/company/02350402,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:41+00:00
TYKO ELECTRICAL SERVICES LTD,07011441,A_CEILING_HIT,"established 2009, unaudited-abridged filer",ltd,corporate subscriber,2009-09-07,unaudited-abridged,"accounts category, NOT turnover",43210,"102-105 Lichfield Street, Tamworth, Staffordshire",B79 7QB,https://find-and-update.company-information.service.gov.uk/company/07011441,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:42+00:00
W.R.R. (UK) LIMITED,03894706,A_CEILING_HIT,"established 1999, total-exemption-full filer",ltd,corporate subscriber,1999-12-15,total-exemption-full,"accounts category, NOT turnover",43290; 93191,"Morton House, 9 Beacon Court, Pitstone Green Business Park, Pitstone",LU7 9GY,https://find-and-update.company-information.service.gov.uk/company/03894706,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:45+00:00
LEES ELECTRICAL CONTRACTORS LIMITED,04713536,A_CEILING_HIT,"established 2003, total-exemption-full filer",ltd,corporate subscriber,2003-03-27,total-exemption-full,"accounts category, NOT turnover",43210,"105 Norleane Crescent, Runcorn, Cheshire",WA7 5EU,https://find-and-update.company-information.service.gov.uk/company/04713536,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:45+00:00
MLW ELECTRICAL CONTRACTORS LIMITED,12800422,A_CEILING_HIT,"established 2020, unaudited-abridged filer",ltd,corporate subscriber,2020-08-07,unaudited-abridged,"accounts category, NOT turnover",43210,"470 Hucknall Road, Nottingham, Nottinghamshire",NG5 1FX,https://find-and-update.company-information.service.gov.uk/company/12800422,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:33:46+00:00
