company_name,company_number,avatar,avatar_reason,company_type,pecr_status,incorporated,accounts_filing_category,size_proxy_note,sic_codes,registered_address,postcode,companies_house_url,email,email_source,lawful_basis,source,retrieved_at
DENNIS GARDINER & CO LTD,06581003,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2008-04-30,micro-entity,"accounts category, NOT turnover",43210,"C/O J & Aw Sully Paramount House, 2 Concorde Drive, Clevedon, North Somerset",BS21 6UH,https://find-and-update.company-information.service.gov.uk/company/06581003,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:27+00:00
MAXIHEAT LIMITED,14867187,B_COMPLIANCE_DROWNED,"young (2023), total-exemption-full filer",ltd,corporate subscriber,2023-05-14,total-exemption-full,"accounts category, NOT turnover",43220,"11 Elton Close, Stamford",PE9 2UL,https://find-and-update.company-information.service.gov.uk/company/14867187,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:29+00:00
SUTTON DOOR SERVICES LTD,13337504,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2021-04-15,micro-entity,"accounts category, NOT turnover",43290; 43999,"95 Church Road Erdington, Birmingham",B24 9BE,https://find-and-update.company-information.service.gov.uk/company/13337504,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:31+00:00
CHROME CONTRACTS LTD,13340099,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2021-04-16,micro-entity,"accounts category, NOT turnover",43290,"95 Church Road Erdington, Birmingham",B24 9BE,https://find-and-update.company-information.service.gov.uk/company/13340099,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:32+00:00
ANDREW GRIMSTEAD LIMITED,09009382,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2014-04-24,micro-entity,"accounts category, NOT turnover",43210,"9 Teeming Grove, Llanwern, Newport, Gwent",NP19 4EJ,https://find-and-update.company-information.service.gov.uk/company/09009382,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:33+00:00
J.K.I. FABRICATIONS LIMITED,11047686,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2017-11-06,micro-entity,"accounts category, NOT turnover",33110; 43290,"169 Kidderminster Road, Bromsgrove, Worcs",B61 9AF,https://find-and-update.company-information.service.gov.uk/company/11047686,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:34+00:00
NELIDE LTD,11323272,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-04-23,micro-entity,"accounts category, NOT turnover",43210,"25 Victoria Street, Rugby",CV21 2HN,https://find-and-update.company-information.service.gov.uk/company/11323272,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:35+00:00
FINEFIX ELECTRICAL LTD,11959343,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2019-04-23,micro-entity,"accounts category, NOT turnover",43210,"7 Bell Yard, London",WC2A 2JR,https://find-and-update.company-information.service.gov.uk/company/11959343,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:37+00:00
SWC ENERGY SYSTEMS LTD,12383965,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2020-01-02,micro-entity,"accounts category, NOT turnover",43290,"Unit 1 Land Adj Far Leys Oxton Hill, Southwell, Nottinghamshire, England",NG25 0RB,https://find-and-update.company-information.service.gov.uk/company/12383965,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:38+00:00
OCTAGON CONSTRUCTION LTD,08497587,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2013-04-22,micro-entity,"accounts category, NOT turnover",43290,"143a High Street, Prestatyn",LL19 9AS,https://find-and-update.company-information.service.gov.uk/company/08497587,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:40+00:00
ONE STEP ELECTRICAL LTD,14060760,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2022-04-21,micro-entity,"accounts category, NOT turnover",43210,"Flat 137, Coleman Court Kimber Road, London",SW18 4PB,https://find-and-update.company-information.service.gov.uk/company/14060760,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:41+00:00
HL&SYMOLIS LTD,09549607,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2015-04-20,micro-entity,"accounts category, NOT turnover",31090; 43290,"337 Battersea Park Road, Ground Floor Shop, London",SW11 4LS,https://find-and-update.company-information.service.gov.uk/company/09549607,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:42+00:00
DMC FIRE PROTECTION LTD,12595471,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2020-05-11,micro-entity,"accounts category, NOT turnover",43290,"58 New Bedford Road, Luton, Bedfordshire",LU1 1SH,https://find-and-update.company-information.service.gov.uk/company/12595471,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:45+00:00
ELYSIAN BATHROOMS & KITCHENS LTD,11381996,B_COMPLIANCE_DROWNED,micro filer (micro-entity),ltd,corporate subscriber,2018-05-25,micro-entity,"accounts category, NOT turnover",43220; 47599,"128a &130c Liverpool Road, Aughton, Ormskirk",L39 3LW,https://find-and-update.company-information.service.gov.uk/company/11381996,,TO BE ENRICHED — not held by Companies House,legitimate interests (LIA required before contact),Companies House public API,2026-07-12T04:32:46+00:00
