priority,relationship,company_name,company_number,avatar,avatar_reason,trade_or_sic,region,incorporated,accounts_filing_category,registered_address,postcode,companies_house_url,source,notes
1 — WARM (contact first),warm — existing KEYIS supply chain,Elect Building and Maintenance Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Electric Power Engineering Services Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Electrical Switchgear Services Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Electrical design Installation Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Elite Underfloor Heating Limtied,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Floor Specialists,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Elmec Installations,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,End Systems,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Commissioning,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Engineered Systems (Electrical) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Equilibrium Architects Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Evolve Data Solutions Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Express Data Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Data,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,F.B. Taylor Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Farr Engineering Services Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Fenland Fire Appliance LLP,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Fibrenex,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Firdale Construction Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Firestop Systems (UK) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire Stopping,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Focus Security,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Frazer Nash NDT Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fabrication,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Frederick G Markland Associates LTD,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,G&G Design Services,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,GME Industry Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,GR Electrical,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),Main register
1 — WARM (contact first),warm — existing KEYIS supply chain,GRP Build Kiosks,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Gaswise,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Heating and Plumbing,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Gemini Security,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Security Only,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Generation Electrical,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Genfit,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Geotek Heating Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Floor Specialists,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Gott Technical Services Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fit Out,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Grainger Fire and Security,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Grip Pave Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Groundtech Consulting Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Guardian Security (South West) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Access Controls,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Guardian Technical Maintainence Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Guardtech Cleanrooms Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Building/Civils,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,H & O Electrical Services,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,H-LEC Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,HB Digital Wales Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,HC Controls Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Control Panels/ BMS,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,HESIS Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hall & Kay Fire Engineering,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,NW,,,,,,KEYIS Subcontractor H&S Register (NW),Main register
1 — WARM (contact first),warm — existing KEYIS supply chain,Harrison Lightning Protection & Earthing Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Lightning Protection,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hawkesworth Appliance Testing Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Haywood and Jackson Fabrications Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Piped Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Heritage Hygenic Environments Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Materials,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Heywood Electrical & Son Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,High Voltage Asset Installation,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Himley Electrical,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hird Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Crane Hire / Machinery Removal,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Honeywell T/A Novar Systems,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,Humphry M& E Consultants,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Design / Consultants,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hybrid Control Solutions Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Control Panels/ BMS,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hydrocert Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Commissioning & Water Treatment,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,Hygienic Cleaning Company (UK) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Hygiene Services,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
1 — WARM (contact first),warm — existing KEYIS supply chain,ICON Electrical (UK) Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),Main register
1 — WARM (contact first),warm — existing KEYIS supply chain,IDS Security Systems Ltd,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Fire & Security,Main,,,,,,KEYIS Subcontractor H&S Register (Main),
1 — WARM (contact first),warm — existing KEYIS supply chain,IES Instrumentation Electrical Services Limited,,PENDING_CLASSIFICATION,KEYIS supply chain · CH classification pending,Electrical Subcontractors,NW,,,,,,KEYIS Subcontractor H&S Register (NW),
